sno,station
1,C0AC70
2,C0AC70
3,C0AC70
4,C0AC70
5,C0AC70
6,C0AC70
7,C0AC70
8,C0AC70
9,C0AC70
10,C0AC70
11,C0AC70
12,C0AC70
13,C0AC70
14,C0AC70
16,C0AC70
17,C0AC70
18,C0AC70
19,C0AC70
20,C0AC70
21,C0AC70
22,C0AC70
23,C0A9F0
24,C0AC70
25,C0AC70
26,C0AC70
27,C0A9F0
28,C0AC70
29,466920
30,C0AC70
31,466920
32,C0AC70
33,C0AC70
34,466920
35,466920
36,C0AC70
37,466920
38,466920
39,C0A9F0
40,C0AC70
41,C0A9F0
42,C0AC70
43,C0AC80
44,C0A9F0
45,466920
46,C0A9F0
47,466920
48,C0A9F0
49,C0AC70
50,C0AC70
51,C0AC70
52,C0AC70
53,C0AC70
54,C0AC70
55,C0AC70
56,466920
57,C0AC70
58,466920
59,466920
60,466920
61,C0AC70
62,466920
63,C0AC70
64,466920
65,466920
66,C0AC70
67,466920
68,466920
69,C0AC80
70,C0AC70
71,C0AC70
72,466920
73,C0A9E0
74,466920
75,C0AC70
76,466920
77,C0AC70
78,C0A9E0
79,466920
80,466920
81,466920
82,466920
83,466920
84,466920
85,C0AC70
86,C0AC70
87,C0AC70
88,C0AC70
89,466920
90,466920
91,C0A9E0
92,466920
93,C0AC70
94,C0AC80
95,466920
96,C0A9F0
97,C0A9E0
98,C0AC80
99,466920
100,466920
101,466920
102,466920
103,466920
104,C0AC80
105,466920
106,466920
107,466920
108,C0A9E0
109,C0A9E0
110,C0A9F0
111,C0AC70
112,C0A9C0
113,C0AC70
114,C0A9C0
115,466920
116,C0A9C0
117,C0A980
118,C0A980
119,C0A9F0
120,466920
121,C0AC70
122,C0A9F0
123,C0A9C0
124,C0A9C0
125,466920
126,C0AC70
127,C0A9F0
128,C0AC70
129,C0A9F0
130,466920
131,C0A9F0
132,466920
133,C0A9C0
134,C0A9C0
135,C0A9C0
136,C0A9C0
137,C0A980
138,C0AC70
139,466920
140,466920
141,C0AC80
142,C0AC80
143,C0AC80
144,C0AC80
145,466920
146,C0A9E0
147,C0A9E0
148,C0A9C0
149,C0A9C0
150,C0AC70
151,C0AC80
152,C0A9E0
153,466920
154,C0A9E0
155,C0A9F0
156,C0A9F0
157,C0A9F0
158,C0A9F0
159,C0A9F0
161,C0A9C0
162,466920
163,C0AC70
164,C0A980
165,C0A9C0
166,C0AC80
167,C0A9E0
168,466920
169,466920
170,C0AC70
171,C0AC80
172,C0AC70
173,466920
174,C0AC70
175,C0AC70
176,C0AC70
177,C0A9E0
178,C0A9E0
179,C0AC70
180,C0A9F0
181,C0AC70
182,466920
183,466920
184,C0A9E0
185,C0AC70
186,466920
187,C0AC70
188,C0A9E0
189,C0A9F0
190,C0A9F0
191,C0A9F0
192,C0A9F0
193,C0A9F0
194,466920
195,466920
196,C0A9F0
197,C0AC70
201,C0A9F0
202,C0A980
203,466920
204,C0A9C0
205,C0AC80
206,C0AC80
207,C0A980
208,466920
209,C0A980
210,C0A9F0
211,C0A9F0
212,C0A9F0
213,C0A9C0
214,C0AC70
215,466920
216,C0A9F0
217,C0A9F0
218,C0AC70
219,466920
220,466920
221,C0AC80
222,466920
223,C0A9C0
224,C0A9E0
225,C0AC70
226,C0A9F0
227,C0A9F0
228,C0AC80
229,466920
230,C0A9F0
231,C0AC70
232,C0A9C0
233,C0A980
234,C0A9C0
235,C0AC70
236,C0A980
237,C0AC80
238,C0A9F0
239,C0A9F0
240,C0AC70
241,C0AC70
242,C0A980
243,C0A9E0
244,C0AC70
245,C0AC70
246,C0A9C0
247,C0AC80
248,C0AC70
249,466920
250,C0AC70
251,C0A9E0
252,C0AC70
253,C0A9C0
254,C0A980
255,C0AC70
256,C0A9E0
257,466920
258,466920
259,C0AC70
260,C0A9F0
261,C0AC70
262,C0AC80
263,C0A9C0
264,C0A980
265,C0A980
266,C0A9F0
267,C0AC70
268,C0A9F0
269,C0A9F0
270,C0A9C0
271,466920
272,C0AC80
273,C0A9C0
274,C0A9F0
275,466920
276,C0AC70
277,466920
278,C0A9F0
279,C0A9F0
280,C0A9E0
281,466920
282,C0AC70
283,C0A980
284,C0A9E0
285,466920
286,C0A9F0
287,C0AC70
288,466920
289,466920
290,466920
291,C0AC70
292,C0AC70
293,466920
294,C0AC70
295,C0AC70
296,C0AC80
297,466920
298,466920
299,466920
300,C0AC70
301,466920
302,C0AC70
303,C0A9F0
304,466920
305,C0A9F0
306,466920
307,C0AC70
308,C0AC70
309,C0AC70
310,C0AC70
311,466920
312,C0AC70
313,466920
314,C0AC70
315,C0AC80
316,C0AC70
317,466920
318,C0A9F0
319,C0A9E0
320,C0AC70
321,466920
322,466920
323,466920
324,C0A9E0
325,C0A9F0
326,C0AC70
327,466920
328,466920
329,C0A9F0
330,C0A9E0
331,C0A9E0
332,466920
333,C0AC70
334,C0AC70
335,C0AC80
336,466920
337,C0AC70
338,C0AC70
339,C0A9E0
340,C0AC70
341,C0A9E0
342,C0A9E0
343,C0AC70
344,C0AC70
345,466920
346,C0A9E0
347,466920
348,C0AC70
349,C0A9E0
350,C0AC70
351,466920
352,466920
353,466920
354,C0AC70
355,C0A9F0
356,C0A9F0
357,C0AC70
358,C0A9F0
359,C0AC70
360,C0AC70
361,C0A9C0
362,466920
363,C0AC70
364,C0AC70
365,C0A9C0
366,C0A9F0
367,C0A980
368,C0A9E0
369,C0AC80
370,466920
371,466920
372,C0A9E0
373,C0AC70
374,C0A9F0
375,C0A9E0
376,C0AC70
377,C0A9F0
378,C0A9F0
379,C0AC70
380,C0A9F0
381,C0A9F0
382,466920
383,C0AC80
384,C0AC70
385,C0AC80
386,466920
387,C0AC70
388,C0AC80
389,C0AC70
390,C0A980
391,C0AC80
392,C0AC70
393,C0A9F0
394,C0AC70
395,C0AC70
396,C0AC70
397,C0A9E0
398,C0A9C0
399,466920
400,C0AC70
401,466920
402,C0A9F0
403,C0A9F0
404,C0A9E0